page_name,page_id,post_last,post_period
왓슨스,641418455907701,2017-11-07,0.8333333333333334
Durex,304211443013233,2017-10-17,8.625
SC제일은행,371092719638193,2017-11-07,1.0416666666666667
"에이비씨마트코리아 (ABCMARTKOREA, ABC마트)",156071521114143,2017-11-07,0.625
뚜레쥬르,115813638607456,2017-11-06,2.2083333333333335
KT그룹,350196291855868,2017-11-06,1.0
카카오게임 - kakaogame,182005835513021,2017-10-24,3.9583333333333335
코오롱스포츠 Kolon Sport,132678626771815,2017-11-06,1.4583333333333333
Mamonde,152556958176620,2017-11-07,1.7083333333333333
LOHB's-롭스,421854337909536,2017-11-05,1.0416666666666667
Louis Vuitton,215138065124,2017-11-03,1.2083333333333333
투썸플레이스,240425909457515,2017-11-06,2.3333333333333335
GS칼텍스(GS Caltex),123720207732373,2017-11-07,1.0833333333333333
BBQ - 비비큐치킨,186128411432521,2017-11-06,1.0
Cass(카스),181925451928724,2017-11-06,2.75
치킨마루,490970897622393,2017-11-07,2.0416666666666665
NS홈쇼핑,207298375996152,2017-11-07,1.1666666666666667
대명리조트 - Daemyungresort,106840726059007,2017-11-06,1.0
Folder,287179121351924,2017-11-07,1.1666666666666667
바닐라코(BANILA CO),168018709910960,2017-11-06,2.75
DIARIO EL HERALDO,21935701184,2017-11-07,0.0
Lotte Duty Free,244954182301887,2017-11-07,1.7916666666666667
Lenovo korea[한국레노버],190617250955666,2017-11-07,1.1666666666666667
CJ ONE,161344933920283,2017-11-06,0.5
Intel,168356489891715,2017-11-06,0.7916666666666666
컴투스 (Com2uS),102301663177763,2017-11-06,3.2916666666666665
Estee Lauder KR 에스티 로더,133328726722804,2017-11-07,1.375
노랑풍선,164636933588920,2017-11-07,1.125
삼성생명,172073229469589,2017-11-03,1.375
오휘(O HUI),208168755871078,2017-10-27,3.625
Pizza Hut,6053772414,2017-11-04,1.0
인터넷교보문고,101972856539754,2017-11-07,1.5
Ralph Lauren,381428385317172,2017-11-07,1.0416666666666667
Le Coq Sportif Korea(르꼬끄),277187975633444,2017-11-07,0.9166666666666666
파스퇴르(Pasteur),268224336619785,2017-10-30,1.4166666666666667
Baristar,464458940300798,2017-11-06,2.0416666666666665
Clinique,150625001703112,2017-11-06,2.1666666666666665
바나나맛우유,261440057271771,2017-11-02,3.75
밀레 Millet Korea,207422049271652,2017-11-07,0.875
Korean Air,182418815752,2017-11-07,1.7916666666666667
쿠차 핫딜쇼핑포털,194717453901610,2017-11-06,3.4583333333333335
E-Land Group,455867624454944,2017-11-03,10.666666666666666
It's skin 잇츠스킨,281700438546139,2017-11-06,2.125
Nike Football,51212153078,2017-08-05,9.5
"갤러리아 명품관, Galleria Luxury Hall",129769417066709,2017-11-06,0.75
Burberry 버버리,699362850137357,2017-11-02,10.458333333333334
Yogiyo (요기요),369697553067199,2017-11-06,2.0416666666666665
하나카드,160519837359357,2017-11-07,1.625
호텔스닷컴 (Hotels.com Korea),183908254983923,2017-11-03,3.125
블랙야크 BLACKYAK,206007286077714,2017-10-31,5.125
MetDaan Beauty,467212596814406,2017-11-07,0.08333333333333333
